,datetime,ignore,imgPath,r0x1,r0y1,r0x2,r0y2,r0ticks,r1x1,r1y1,r1x2,r1y2,r1ticks,l0x1,l0y1,l0x2,l0y2,l1x1,l1y1,l1x2,l1y2,timestamp
89,2015-09-27 21:14:39,0.0,IMG_4822.JPG,,,,,,,,,,,,,,,,,,,1443381279.0
90,2015-09-27 21:14:42,0.0,IMG_4823.JPG,,,,,,,,,,,,,,,,,,,1443381282.0
91,2015-09-27 21:14:45,0.0,IMG_4824.JPG,,,,,,,,,,,,,,,,,,,1443381285.0
92,2015-09-28 15:28:08,0.0,IMG_4834.JPG,350.0,296.0,795.0,252.0,6.0,843.0,577.0,819.0,165.0,5.0,777.0,447.0,459.0,463.0,646.0,629.0,627.0,289.0,1443446888.0
93,2015-09-29 08:14:19,0.0,IMG_4839.JPG,,,,,,,,,,,,,,,,,,,1443507259.0
94,2015-09-29 08:14:23,0.0,IMG_4840.JPG,729.0,243.0,708.0,534.0,5.0,699.0,556.0,427.0,544.0,5.0,686.0,418.0,447.0,418.0,579.0,542.0,583.0,302.0,1443507263.0
95,2015-09-29 21:03:57,0.0,IMG_4849.JPG,,,,,,,,,,,,,,,,,,,1443553437.0
96,2015-09-29 21:04:04,0.0,IMG_4850.JPG,,,,,,,,,,,,,,,,,,,1443553444.0
97,2015-09-29 21:04:41,0.0,IMG_4852.JPG,,,,,,,,,,,,,,,,,,,1443553481.0
98,2015-09-30 08:07:36,0.0,IMG_4856.JPG,,,,,,,,,,,,,,,,,,,1443593256.0
99,2015-09-30 08:07:40,0.0,IMG_4857.JPG,,,,,,,,,,,,,,,,,,,1443593260.0
100,2015-09-30 08:08:00,0.0,IMG_4858.JPG,773.0,644.0,402.0,620.0,5.0,838.0,586.0,824.0,265.0,4.0,774.0,495.0,463.0,475.0,623.0,643.0,642.0,334.0,1443593280.0
101,2015-09-30 08:08:03,0.0,IMG_4859.JPG,,,,,,,,,,,,,,,,,,,1443593283.0
102,2015-09-30 22:00:44,0.0,IMG_4861.JPG,,,,,,,,,,,,,,,,,,,1443643244.0
103,2015-09-30 22:00:50,0.0,IMG_4862.JPG,,,,,,,,,,,,,,,,,,,1443643250.0
104,2015-09-30 22:00:59,0.0,IMG_4863.JPG,,,,,,,,,,,,,,,,,,,1443643259.0
105,2015-09-30 22:01:04,0.0,IMG_4864.JPG,,,,,,,,,,,,,,,,,,,1443643264.0
106,2015-09-30 22:01:33,0.0,IMG_4866.JPG,,,,,,,,,,,,,,,,,,,1443643293.0
107,2015-09-30 22:01:36,0.0,IMG_4867.JPG,,,,,,,,,,,,,,,,,,,1443643296.0
108,2015-10-01 08:34:02,0.0,IMG_4868.JPG,,,,,,,,,,,,,,,,,,,1443681242.0
109,2015-10-01 08:44:57,0.0,IMG_4869.JPG,395.0,644.0,829.0,631.0,6.0,904.0,551.0,875.0,176.0,5.0,787.0,455.0,491.0,481.0,667.0,613.0,643.0,321.0,1443681897.0
110,2015-10-01 08:49:07,1.0,IMG_4872.JPG,,,,,,,,,,,,,,,,,,,1443682147.0
111,2015-10-01 08:49:08,1.0,IMG_4873.JPG,,,,,,,,,,,,,,,,,,,1443682148.0
112,2015-10-01 08:49:22,1.0,IMG_4874.JPG,,,,,,,,,,,,,,,,,,,1443682162.0
113,2015-10-01 23:19:16,0.0,IMG_4881.JPG,,,,,,,,,,,,,,,,,,,1443734356.0
114,2015-10-01 23:19:23,0.0,IMG_4882.JPG,,,,,,,,,,,,,,,,,,,1443734363.0
115,2015-10-01 23:19:30,0.0,IMG_4883.JPG,,,,,,,,,,,,,,,,,,,1443734370.0
116,2015-10-02 08:59:04,0.0,IMG_4885.JPG,,,,,,,,,,,,,,,,,,,1443769144.0
117,2015-10-02 08:59:34,0.0,IMG_4886.JPG,577.0,524.0,905.0,565.0,6.0,519.0,476.0,514.0,204.0,5.0,556.0,386.0,792.0,400.0,668.0,519.0,688.0,274.0,1443769174.0
118,2015-10-03 22:50:26,0.0,IMG_4901.JPG,,,,,,,,,,,,,,,,,,,1443905426.0
119,2015-10-03 22:51:42,0.0,IMG_4902.JPG,,,,,,,,,,,,,,,,,,,1443905502.0
120,2015-10-03 22:52:26,0.0,IMG_4903.JPG,,,,,,,,,,,,,,,,,,,1443905546.0
121,2015-10-03 22:52:33,0.0,IMG_4904.JPG,,,,,,,,,,,,,,,,,,,1443905553.0
122,2015-10-03 22:53:52,0.0,IMG_4905.JPG,,,,,,,,,,,,,,,,,,,1443905632.0
123,2015-10-03 22:53:58,0.0,IMG_4906.JPG,,,,,,,,,,,,,,,,,,,1443905638.0
124,2015-10-03 22:54:05,0.0,IMG_4907.JPG,,,,,,,,,,,,,,,,,,,1443905645.0
125,2015-10-03 23:00:25,0.0,IMG_4908.JPG,,,,,,,,,,,,,,,,,,,1443906025.0
126,2015-10-03 23:01:12,0.0,IMG_4909.JPG,365.0,602.0,766.0,648.0,5.0,350.0,599.0,344.0,195.0,5.0,386.0,436.0,754.0,442.0,578.0,613.0,576.0,252.0,1443906072.0
127,2015-10-03 23:01:28,0.0,IMG_4910.JPG,,,,,,,,,,,,,,,,,,,1443906088.0
128,2015-10-03 23:01:34,0.0,IMG_4911.JPG,,,,,,,,,,,,,,,,,,,1443906094.0
129,2015-10-03 23:01:36,0.0,IMG_4912.JPG,,,,,,,,,,,,,,,,,,,1443906096.0
130,2015-10-04 13:07:48,0.0,IMG_4915.JPG,,,,,,,,,,,,,,,,,,,1443956868.0
131,2015-10-04 13:07:53,0.0,IMG_4916.JPG,,,,,,,,,,,,,,,,,,,1443956873.0
132,2015-10-04 13:19:31,0.0,IMG_4917.JPG,,,,,,,,,,,,,,,,,,,1443957571.0
133,2015-10-04 13:19:56,0.0,IMG_4918.JPG,,,,,,,,,,,,,,,,,,,1443957596.0
134,2015-10-04 13:19:59,0.0,IMG_4919.JPG,483.0,594.0,946.0,609.0,6.0,429.0,588.0,454.0,111.0,6.0,457.0,470.0,820.0,408.0,680.0,598.0,626.0,271.0,1443957599.0
135,2015-10-04 13:20:29,0.0,IMG_4920.JPG,,,,,,,,,,,,,,,,,,,1443957629.0
136,2015-10-04 13:21:10,0.0,IMG_4921.JPG,,,,,,,,,,,,,,,,,,,1443957670.0
137,2015-10-04 13:21:13,0.0,IMG_4922.JPG,402.0,607.0,437.0,281.0,5.0,578.0,244.0,987.0,257.0,6.0,464.0,466.0,765.0,445.0,637.0,600.0,622.0,317.0,1443957673.0
138,2015-10-04 20:50:01,0.0,IMG_4927.JPG,,,,,,,,,,,,,,,,,,,1443984601.0
139,2015-10-04 20:50:32,0.0,IMG_4928.JPG,,,,,,,,,,,,,,,,,,,1443984632.0
